Trip Start Timestamp,Pickup Community Area,Dropoff Community Area,Trip Total
4/7/2016 0:15,3,3,6.75
4/7/2016 0:15,33,33,24.44
4/7/2016 0:15,56,66,16.25
4/7/2016 0:15,8,8,7.5
4/7/2016 0:15,8,8,6.5
4/7/2016 0:15,28,21,21.9
4/7/2016 0:15,35,40,9.75
4/7/2016 0:15,8,7,8.5
4/7/2016 0:15,28,8,9.75
4/7/2016 0:15,32,28,8.75
4/7/2016 0:15,8,28,10
4/7/2016 0:15,6,5,7
4/7/2016 0:15,8,8,6.25
4/7/2016 0:15,32,7,14.38
4/7/2016 0:15,55,55,3.25
4/7/2016 0:15,8,16,19.75
4/7/2016 0:15,76,77,46.75
4/7/2016 0:15,6,32,23
4/7/2016 0:15,6,6,3.25
4/7/2016 0:15,28,32,8.75
4/7/2016 0:15,76,34,51.75
4/7/2016 0:15,8,32,11.75
4/7/2016 0:15,16,22,9.85
4/7/2016 0:15,32,8,12.6
4/7/2016 0:15,32,8,5.5
4/7/2016 0:15,24,6,13.5
4/7/2016 0:15,7,39,23.25
4/7/2016 0:15,8,8,8.75
4/7/2016 0:15,16,11,12
4/7/2016 0:15,32,33,10.25
4/7/2016 0:15,22,22,5
4/7/2016 0:15,6,6,7
4/7/2016 0:15,6,6,5.25
4/7/2016 0:15,8,8,3.25
4/7/2016 0:15,28,39,24.6
4/7/2016 0:15,8,7,8.5
4/7/2016 0:15,76,5,40.83
4/7/2016 0:15,7,8,8.5
4/7/2016 0:15,32,24,13.74
4/7/2016 0:15,28,32,10
4/7/2016 0:15,7,21,10.75
4/7/2016 0:15,32,28,6.25
4/7/2016 0:15,6,6,7.75
4/7/2016 0:15,8,24,11.75
4/7/2016 0:15,77,2,5
4/7/2016 0:15,7,8,9
4/7/2016 0:15,6,6,4.25
4/7/2016 0:15,32,6,22.5
4/7/2016 0:15,32,32,5
4/7/2016 0:15,8,32,9.5
4/7/2016 0:15,8,4,22.5
4/7/2016 0:15,8,8,9
4/7/2016 0:15,8,8,8
4/7/2016 0:15,32,8,7
4/7/2016 0:15,7,22,11.79
4/7/2016 0:15,6,77,12.3
4/7/2016 0:15,8,77,22.75
4/7/2016 0:15,8,24,9.75
4/7/2016 0:15,8,8,8.5
4/7/2016 0:15,32,8,8.5
4/7/2016 0:15,8,32,7.75
4/7/2016 0:15,8,8,6.25
4/7/2016 0:15,32,32,4.75
4/7/2016 0:15,24,24,8.25
4/7/2016 0:15,22,23,7.25
4/7/2016 0:15,8,8,7.75
4/7/2016 0:15,6,3,7.25
4/7/2016 0:15,32,28,9.25
4/7/2016 0:15,24,32,15.9
4/7/2016 0:15,8,28,8
4/7/2016 0:15,32,8,9.25
4/7/2016 0:15,22,24,13.5
4/7/2016 0:15,22,3,17.1
4/7/2016 0:15,8,32,6
4/7/2016 0:15,8,8,5
4/7/2016 0:15,28,28,9.5
4/7/2016 0:15,7,8,14.5
4/7/2016 0:15,5,3,10.75
4/7/2016 0:15,22,5,11.5
4/7/2016 0:15,32,28,7.5
4/7/2016 0:15,8,24,13.75
4/7/2016 0:15,24,21,17.25
4/7/2016 0:15,11,14,7.75
4/7/2016 0:15,32,8,7.25
4/7/2016 0:15,8,7,12
4/7/2016 0:15,8,24,12.5
4/7/2016 0:15,8,7,12.5
4/7/2016 0:15,3,4,12
4/7/2016 0:15,76,32,58.2
4/7/2016 0:15,22,22,10.75
4/7/2016 0:15,8,32,10.25
4/7/2016 0:15,6,5,7.75
4/7/2016 0:15,7,7,4
4/7/2016 0:15,8,6,17.75
4/7/2016 0:15,32,77,29.4
4/7/2016 0:15,8,6,15.75
4/7/2016 0:15,8,8,8
4/7/2016 0:15,32,8,10.25
4/7/2016 0:15,8,32,9.25
4/7/2016 0:15,7,8,9.5
4/7/2016 0:15,8,6,17
4/7/2016 0:15,76,7,40.5
4/7/2016 0:15,32,7,16
4/7/2016 0:15,32,24,9.75
4/7/2016 0:15,8,24,9.75
4/7/2016 0:15,8,7,11.5
4/7/2016 0:15,24,24,6
4/7/2016 0:15,8,58,24.25
4/7/2016 0:15,8,6,18.6
4/7/2016 0:15,8,3,22.8
4/7/2016 0:15,28,8,8
4/7/2016 0:15,6,77,13
4/7/2016 0:15,32,28,7.5
4/7/2016 0:15,76,32,54
4/7/2016 0:15,56,77,75
4/7/2016 0:15,24,24,5.75
4/7/2016 0:15,8,8,5.25
4/7/2016 0:15,8,8,9.5
4/7/2016 0:15,8,8,8.75
4/7/2016 0:15,8,24,14.4
4/7/2016 0:15,32,7,14.75
4/7/2016 0:15,8,7,16.8
4/7/2016 0:15,28,32,9.5
4/7/2016 0:15,7,7,3.25
4/7/2016 0:15,32,65,30.5
4/7/2016 0:15,7,7,9.25
4/7/2016 0:15,8,8,6.75
4/7/2016 0:15,32,8,11.25
4/7/2016 0:15,32,7,15
4/7/2016 0:15,32,28,10
4/7/2016 0:15,32,28,12.25
4/7/2016 0:15,4,3,7.75
4/7/2016 0:15,22,22,7
4/7/2016 0:15,7,7,7.75
4/7/2016 0:15,28,24,5.5
4/7/2016 0:15,32,32,8.75
4/7/2016 0:15,24,60,20.1
4/7/2016 0:15,32,6,23.4
4/7/2016 0:15,8,8,11.25
4/7/2016 0:15,8,4,25.2
4/7/2016 0:15,32,8,7.75
4/7/2016 0:15,77,8,19.25
4/7/2016 0:15,32,24,18.3
4/7/2016 0:15,8,8,9.25
4/7/2016 0:15,24,24,5.5
4/7/2016 0:15,32,6,24.5
4/7/2016 0:15,8,28,11.75
4/7/2016 0:15,8,8,11
4/7/2016 0:15,8,41,34.06
4/7/2016 0:15,8,6,18
4/7/2016 0:15,8,8,6.75
4/7/2016 0:15,28,33,13.25
4/7/2016 0:15,24,24,6
4/7/2016 0:15,76,6,41.25
4/7/2016 0:15,32,32,6
4/7/2016 0:15,8,7,10.5
4/7/2016 0:15,76,6,45.25
4/7/2016 0:15,32,32,6.5
4/7/2016 0:15,6,32,19
4/7/2016 0:15,32,7,18.9
4/7/2016 0:15,6,16,15.25
4/7/2016 0:15,8,32,8.25
4/7/2016 0:15,32,8,6.5
4/7/2016 0:15,8,24,10.5
